Län,Kommun,Länskod,Kommunkod,Tal,Mottagna
BLEKINGE LÄN,,10,,83,83
BLEKINGE LÄN,KARLSHAMN,10,1082,10,10
BLEKINGE LÄN,KARLSKRONA,10,1080,61,61
BLEKINGE LÄN,SÖLVESBORG,10,1083,12,12
DALARNAS LÄN,,20,,388,375
DALARNAS LÄN,LUDVIKA,20,2085,0,0
DALARNAS LÄN,BORLÄNGE,20,2081,26,26
DALARNAS LÄN,FALUN,20,2080,144,134
DALARNAS LÄN,GAGNEF,20,2026,26,26
DALARNAS LÄN,LEKSAND,20,2029,25,25
DALARNAS LÄN,MALUNG,20,2023,25,23
DALARNAS LÄN,MORA,20,2062,47,47
DALARNAS LÄN,ORSA,20,2034,7,7
DALARNAS LÄN,RÄTTVIK,20,2031,21,21
DALARNAS LÄN,SÄTER,20,2082,24,23
DALARNAS LÄN,SMEDJEBACKEN,20,2061,19,19
DALARNAS LÄN,VANSBRO,20,2021,4,4
DALARNAS LÄN,ÄLVDALEN,20,2039,20,20
GÄVLEBORGS LÄN,,21,,210,208
GÄVLEBORGS LÄN,BOLLNÄS,21,2183,10,10
GÄVLEBORGS LÄN,GÄVLE,21,2180,49,49
GÄVLEBORGS LÄN,HOFORS,21,2104,15,13
GÄVLEBORGS LÄN,HUDIKSVALL,21,2184,42,42
GÄVLEBORGS LÄN,LJUSDAL,21,2161,45,45
GÄVLEBORGS LÄN,NORDANSTIG,21,2132,15,15
GÄVLEBORGS LÄN,OCKELBO,21,2101,10,10
GÄVLEBORGS LÄN,OVANÅKER,21,2121,10,10
GÄVLEBORGS LÄN,SANDVIKEN,21,2181,7,7
GÄVLEBORGS LÄN,SÖDERHAMN,21,2182,7,7
GOTLANDS LÄN,,9,,125,122
GOTLANDS LÄN,GOTLAND,9,0980,125,122
HALLANDS LÄN,,13,,582,517
HALLANDS LÄN,FALKENBERG,13,1382,41,40
HALLANDS LÄN,HALMSTAD,13,1380,90,90
HALLANDS LÄN,HYLTE,13,1315,5,5
HALLANDS LÄN,KUNGSBACKA,13,1384,293,244
HALLANDS LÄN,LAHOLM,13,1381,15,15
HALLANDS LÄN,VARBERG,13,1383,138,123
JÄMTLANDS LÄN,,23,,184,183
JÄMTLANDS LÄN,BERG,23,2326,10,10
JÄMTLANDS LÄN,BRÄCKE,23,2305,10,10
JÄMTLANDS LÄN,HÄRJEDALEN,23,2361,10,9
JÄMTLANDS LÄN,KROKOM,23,2309,25,25
JÄMTLANDS LÄN,RAGUNDA,23,2303,10,10
JÄMTLANDS LÄN,STRÖMSUND,23,2313,10,10
JÄMTLANDS LÄN,ÅRE,23,2321,25,25
JÄMTLANDS LÄN,ÖSTERSUND,23,2380,84,84
JÖNKÖPINGS LÄN,,6,,428,415
JÖNKÖPINGS LÄN,ANEBY,6,0604,12,12
JÖNKÖPINGS LÄN,EKSJÖ,6,0686,6,6
JÖNKÖPINGS LÄN,GISLAVED,6,0662,7,7
JÖNKÖPINGS LÄN,GNOSJÖ,6,0617,8,8
JÖNKÖPINGS LÄN,HABO,6,0643,36,33
JÖNKÖPINGS LÄN,JÖNKÖPING,6,0680,199,199
JÖNKÖPINGS LÄN,MULLSJÖ,6,0642,18,18
JÖNKÖPINGS LÄN,NÄSSJÖ,6,0682,4,4
JÖNKÖPINGS LÄN,SÄVSJÖ,6,0684,4,4
JÖNKÖPINGS LÄN,TRANÅS,6,0687,17,15
JÖNKÖPINGS LÄN,VAGGERYD,6,0665,27,24
JÖNKÖPINGS LÄN,VÄRNAMO,6,0683,80,75
JÖNKÖPINGS LÄN,VETLANDA,6,0685,10,10
KALMAR LÄN,,8,,165,165
KALMAR LÄN,EMMABODA,8,0862,0,0
KALMAR LÄN,MÖNSTERÅS,8,0861,0,0
KALMAR LÄN,NYBRO,8,0881,0,0
KALMAR LÄN,TORSÅS,8,0834,0,0
KALMAR LÄN,VIMMERBY,8,0884,0,0
KALMAR LÄN,BORGHOLM,8,0885,10,10
KALMAR LÄN,KALMAR,8,0880,110,110
KALMAR LÄN,MÖRBYLÅNGA,8,0840,14,14
KALMAR LÄN,OSKARSHAMN,8,0882,21,21
KALMAR LÄN,VÄSTERVIK,8,0883,10,10
KRONOBERG LÄN,,7,,153,151
KRONOBERG LÄN,ALVESTA,7,0764,0,0
KRONOBERG LÄN,LJUNGBY,7,0781,32,30
KRONOBERG LÄN,TINGSRYD,7,0763,15,15
KRONOBERG LÄN,UPPVIDINGE,7,0760,20,20
KRONOBERG LÄN,VÄXJÖ,7,0780,65,65
KRONOBERG LÄN,ÄLMHULT,7,0765,21,21
NORRBOTTENS LÄN,,25,,508,497
NORRBOTTENS LÄN,ARJEPLOG,25,2506,5,5
NORRBOTTENS LÄN,ARVIDSJAUR,25,2505,13,13
NORRBOTTENS LÄN,BODEN,25,2582,21,21
NORRBOTTENS LÄN,GÄLLIVARE,25,2523,45,43
NORRBOTTENS LÄN,HAPARANDA,25,2583,3,3
NORRBOTTENS LÄN,JOKKMOKK,25,2510,3,3
NORRBOTTENS LÄN,KALIX,25,2514,20,20
NORRBOTTENS LÄN,KIRUNA,25,2584,44,44
NORRBOTTENS LÄN,LULEÅ,25,2580,196,195
NORRBOTTENS LÄN,PAJALA,25,2521,40,37
NORRBOTTENS LÄN,PITEÅ,25,2581,92,87
NORRBOTTENS LÄN,ÄLVSBYN,25,2560,5,5
NORRBOTTENS LÄN,ÖVERKALIX,25,2513,7,7
NORRBOTTENS LÄN,ÖVERTORNEÅ,25,2518,14,14
SKÅNE LÄN,,12,,1800,1727
SKÅNE LÄN,ÅSTORP,12,1277,0,0
SKÅNE LÄN,OSBY,12,1273,0,0
SKÅNE LÄN,SIMRISHAMN,12,1291,0,0
SKÅNE LÄN,BÅSTAD,12,1278,17,17
SKÅNE LÄN,BJUV,12,1260,16,16
SKÅNE LÄN,BROMÖLLA,12,1272,7,7
SKÅNE LÄN,BURLÖV,12,1231,21,21
SKÅNE LÄN,ESLÖV,12,1285,63,59
SKÅNE LÄN,HÄSSLEHOLM,12,1293,3,3
SKÅNE LÄN,HELSINGBORG,12,1283,127,127
SKÅNE LÄN,HÖGANÄS,12,1284,44,40
SKÅNE LÄN,HÖÖR,12,1267,30,30
SKÅNE LÄN,HÖRBY,12,1266,28,26
SKÅNE LÄN,KÄVLINGE,12,1261,124,124
SKÅNE LÄN,KLIPPAN,12,1276,18,18
SKÅNE LÄN,KRISTIANSTAD,12,1290,49,49
SKÅNE LÄN,LANDSKRONA,12,1282,33,29
SKÅNE LÄN,LOMMA,12,1262,89,81
SKÅNE LÄN,LUND,12,1281,354,353
SKÅNE LÄN,MALMÖ,12,1280,155,148
SKÅNE LÄN,SJÖBO,12,1265,53,49
SKÅNE LÄN,SKURUP,12,1264,35,35
SKÅNE LÄN,STAFFANSTORP,12,1230,96,91
SKÅNE LÄN,SVALÖV,12,1214,4,4
SKÅNE LÄN,SVEDALA,12,1263,57,51
SKÅNE LÄN,TOMELILLA,12,1270,10,10
SKÅNE LÄN,TRELLEBORG,12,1287,101,96
SKÅNE LÄN,VELLINGE,12,1233,140,126
SKÅNE LÄN,YSTAD,12,1286,38,36
SKÅNE LÄN,ÄNGELHOLM,12,1292,84,77
SKÅNE LÄN,ÖRKELLJUNGA,12,1257,4,4
SÖDERMANLANDS LÄN,,4,,205,202
SÖDERMANLANDS LÄN,ESKILSTUNA,4,0484,0,0
SÖDERMANLANDS LÄN,GNESTA,4,0461,17,17
SÖDERMANLANDS LÄN,KATRINEHOLM,4,0483,13,12
SÖDERMANLANDS LÄN,NYKÖPING,4,0480,73,73
SÖDERMANLANDS LÄN,STRÄNGNÄS,4,0486,56,56
SÖDERMANLANDS LÄN,TROSA,4,0488,46,44
STOCKHOLMS LÄN,,1,,4931,4620
STOCKHOLMS LÄN,BOTKYRKA,1,0127,92,92
STOCKHOLMS LÄN,DANDERYD,1,0162,139,138
STOCKHOLMS LÄN,EKERÖ,1,0125,116,115
STOCKHOLMS LÄN,HANINGE,1,0136,182,165
STOCKHOLMS LÄN,HUDDINGE,1,0126,193,193
STOCKHOLMS LÄN,JÄRFÄLLA,1,0123,105,98
STOCKHOLMS LÄN,LIDINGÖ,1,0186,144,137
STOCKHOLMS LÄN,NACKA,1,0182,304,282
STOCKHOLMS LÄN,NORRTÄLJE,1,0188,131,121
STOCKHOLMS LÄN,NYKVARN,1,0140,32,32
STOCKHOLMS LÄN,NYNÄSHAMN,1,0192,74,69
STOCKHOLMS LÄN,SALEM,1,0128,41,40
STOCKHOLMS LÄN,SIGTUNA,1,0191,73,72
STOCKHOLMS LÄN,SOLLENTUNA,1,0163,166,151
STOCKHOLMS LÄN,SOLNA,1,0184,215,214
