Region,Partikod,Parti,1994,1998,2002,2006,2010,2014,2018
0114 Upplands Väsby,M,Moderaterna,28.5,29.9,18.7,34.5,36.7,28.4,23.1
0114 Upplands Väsby,C,Centerpartiet,2.9,2.2,2.4,4.0,4.0,3.7,6.3
0114 Upplands Väsby,L,Liberalerna,9.0,5.2,16.4,9.0,8.3,6.1,5.7
0114 Upplands Väsby,KD,Kristdemokraterna,3.0,9.8,8.3,6.3,5.5,4.5,6.7
0114 Upplands Väsby,MP,Miljöpartiet,5.3,4.6,4.5,5.2,7.0,6.8,3.9
0114 Upplands Väsby,S,Socialdemokraterna,43.1,34.6,38.8,30.6,27.2,30.3,27.0
0114 Upplands Väsby,V,Vänsterpartiet,5.8,10.4,8.3,5.8,5.2,5.8,8.0
0114 Upplands Väsby,SD,Sverigedemokraterna,..,0.4,1.1,2.5,4.8,10.9,18.0
0114 Upplands Väsby,A,övriga partier,2.4,2.8,1.5,2.1,1.3,3.4,1.3
0115 Vallentuna,M,Moderaterna,35.2,35.4,22.3,42.1,44.5,36.3,28.3
0115 Vallentuna,C,Centerpartiet,6.9,4.4,4.5,7.5,7.3,6.8,10.1
0115 Vallentuna,L,Liberalerna,9.5,5.5,19.2,8.8,8.7,7.0,7.7
0115 Vallentuna,KD,Kristdemokraterna,4.1,13.3,11.2,7.1,6.5,4.9,7.6
0115 Vallentuna,MP,Miljöpartiet,5.9,4.9,5.7,6.1,7.7,8.3,4.9
0115 Vallentuna,S,Socialdemokraterna,32.3,26.7,29.7,20.9,16.9,19.6,18.9
0115 Vallentuna,V,Vänsterpartiet,4.5,7.7,5.5,3.4,3.0,3.2,4.5
0115 Vallentuna,SD,Sverigedemokraterna,..,0.1,1.2,1.8,4.0,10.3,16.6
0115 Vallentuna,A,övriga partier,1.7,2.0,0.8,2.3,1.4,3.6,1.4
0117 Österåker,M,Moderaterna,36.1,36.4,24.0,42.3,45.5,37.4,29.7
0117 Österåker,C,Centerpartiet,4.2,2.4,2.6,5.6,5.8,5.8,9.4
0117 Österåker,L,Liberalerna,10.1,5.5,19.7,9.3,9.2,7.6,7.5
0117 Österåker,KD,Kristdemokraterna,2.9,13.0,9.8,7.3,6.2,5.1,7.1
0117 Österåker,MP,Miljöpartiet,5.5,4.4,4.9,5.6,7.5,7.8,4.4
0117 Österåker,S,Socialdemokraterna,34.7,28.4,31.7,22.8,17.8,20.4,19.7
0117 Österåker,V,Vänsterpartiet,4.4,8.1,5.6,3.6,3.3,3.5,5.0
0117 Österåker,SD,Sverigedemokraterna,..,0.2,0.8,1.8,3.5,9.8,16.1
0117 Österåker,A,övriga partier,2.2,1.7,0.9,1.7,1.2,2.8,1.1
0120 Värmdö,M,Moderaterna,33.0,36.1,24.2,42.9,45.9,37.4,27.5
0120 Värmdö,C,Centerpartiet,4.1,2.5,2.5,5.5,5.8,5.4,9.8
0120 Värmdö,L,Liberalerna,7.5,4.6,18.1,8.4,7.6,6.2,6.4
0120 Värmdö,KD,Kristdemokraterna,2.5,9.7,8.7,6.2,5.4,4.3,5.9
0120 Värmdö,MP,Miljöpartiet,5.4,4.5,5.6,6.4,8.6,8.3,5.4
0120 Värmdö,S,Socialdemokraterna,38.7,30.4,32.4,22.4,17.6,20.3,20.5
0120 Värmdö,V,Vänsterpartiet,6.6,10.7,7.0,4.3,3.6,3.7,6.0
0120 Värmdö,SD,Sverigedemokraterna,..,0.2,0.8,2.1,4.1,10.4,17.2
0120 Värmdö,A,övriga partier,2.3,1.4,0.7,1.8,1.3,3.9,1.4
